Perturbation, Real Part, Imaginary Part
0.001, -184.93878470553386, 0.23115709435646808
0.016736842105263158, -182.48034681797432, 0.22600282893247714
0.032473684210526314, -180.12742308368001, 0.22107174214653472
0.04821052631578947, -177.87336006050998, 0.21634969256306333
0.06394736842105263, -175.7120523191696, 0.21182370688100136
0.07968421052631579, -173.63788715372488, 0.20748186189491324
0.09542105263157893, -171.64569585359027, 0.2033131804334454
0.1111578947368421, -169.73071064626686, 0.19930753943669172
0.12689473684210525, -167.8885265552966, 0.19545558854782083
0.14263157894736841, -166.11506753215747, 0.19174867782604724
0.15836842105263157, -164.4065563128876, 0.18817879342751448
0.17410526315789474, -162.7594875294351, 0.18473850024664934
0.18984210526315787, -161.17060367484876, 0.18142089063747846
0.20557894736842103, -159.6368735729142, 0.1782195385025992
0.2213157894736842, -158.15547305398886, 0.17512845809324987
0.23705263157894735, -156.72376757864498, 0.17214206694791814
0.2527894736842105, -155.33929658139792, 0.1692551525363702
0.26852631578947367, -153.99975934161708, 0.1664628421387131
0.28426315789473683, -152.70300220900674, 0.16376057562573576
0.3, -151.44700703532214, 0.16114408081288917
